node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
PINK1,48964,1.08478,17,34,37.198,10,0.13539,56.5381,7.78518,317.09771,82184,0.23886
PARK7,48960,1.0319,19,38,38.933,1,0.13539,59.94524,7.97323,782.41264,191440,0.21906
PRKN,48504,1.08551,19,38,38.996,2,0.13539,58.92143,7.88297,399.43081,95376,0.23044
SNCA,48226,0.87739,22,44,40.415,31,0.15796,62.46667,8.11615,1593.61452,831560,0.17759
LRRK2,47840,1.1128,16,36,38.878,3,0.13539,58.0881,7.8604,498.19836,102904,0.19683
FBXO7,46440,1.52713,11,22,33.368,1,0.13539,49.4381,7.50687,27.69321,17040,0.38961
GBA,46228,0.96143,15,30,33.401,9,0.13539,53.27143,7.62722,1143.49706,404344,0.22069
ATP13A2,42054,1.27731,13,26,34.7,1,0.13539,52.62143,7.64979,105.98483,31168,0.30769
VPS35,41311,1.42532,11,24,33.549,2,0.13539,50.9381,7.56705,123.19482,30576,0.30435
UCHL1,6050,1.14153,12,24,35.081,1,0.15796,55.95,7.94314,746.55734,551736,0.28261
MAPT,4130,0.77476,24,48,40.614,5,0.13539,61.47143,7.9281,795.76349,183248,0.15248
SQSTM1,1894,1.02306,16,32,37.063,12,0.15796,57.95,7.97323,839.95744,400568,0.22984
APP,1848,0.68406,26,52,40.76,3,0.13539,65.9119,8.14623,2087.95702,777536,0.13122
PSEN1,1506,0.87947,16,32,35.93,3,0.13539,56.1381,7.7927,342.2329,88136,0.19758
APOE,1306,0.67007,19,42,36.49,11,0.13539,60.22143,7.90553,1755.25705,772944,0.11614
TARDBP,1158,0.98716,16,32,37.171,2,0.13539,55.72857,7.80775,219.65726,55496,0.22177
PSEN2,1134,0.99518,12,24,31.523,2,0.11847,51.45357,7.52191,105.93577,23648,0.24638
PRNP,1014,1.19716,10,20,32.047,1,0.13539,52.4119,7.74757,72.15002,54952,0.31579
TNF,997,0.61411,20,42,34.992,10,0.11847,58.9369,7.77014,960.86703,414560,0.11614
TP53,993,0.60183,20,42,37.678,14,0.13539,61.30476,7.96571,1565.77123,530680,0.11382
IL1B,992,0.77178,16,32,33.982,1,0.11847,56.60357,7.74005,477.82227,211160,0.17339
PLA2G6,986,1.24106,9,22,28.187,4,0.13539,47.9381,7.41661,527.53911,106088,0.22511
VCP,896,0.94594,14,28,34.873,3,0.13539,55.39524,7.82279,261.11862,46648,0.22222
STAT3,883,0.84883,12,26,30.978,5,0.11847,53.7869,7.63474,459.32265,124536,0.17846
IL6,868,0.66112,18,36,32.339,4,0.11847,57.10357,7.73253,566.14948,215584,0.14286
BACE1,846,1.22461,8,16,28.8,1,0.11847,50.05119,7.59713,62.66434,49208,0.35
TGFB1,843,1.39033,7,20,25.727,5,0.11847,51.5369,7.56705,902.97636,341928,0.21053
IL10,828,0.90737,12,24,28.956,2,0.11847,52.12143,7.49935,158.33279,79032,0.22464
FUS,720,1.28879,9,18,27.897,1,0.13539,48.5119,7.552,25.48679,6904,0.35294
SOD1,434,0.8108,14,32,35.552,18,0.13539,57.59524,7.95066,2167.72544,828288,0.14516
C9orf72,372,1.22461,8,16,28.806,1,0.13539,49.5619,7.64226,19.65616,3480,0.35
DCTN1,362,1.10798,8,16,26.113,2,0.13539,46.94524,7.45422,52.70949,12728,0.31667
TREM2,266,1.24398,7,18,25.408,2,0.11847,50.12024,7.51439,162.72817,109072,0.23529
DNAJC6,265,1.24398,7,16,25.373,1,0.11847,44.37143,7.14582,54.54858,6168,0.28333
SORL1,265,1.24398,7,16,28.196,1,0.11847,49.4369,7.52191,68.32569,12008,0.28333
MFN2,244,1.33138,6,20,27.246,6,0.13539,49.4881,7.52191,691.07061,139400,0.14737
FIG4,124,1.04608,6,16,23.321,2,0.15796,47.5,7.52191,519.34322,152768,0.2
GRN,122,1.29653,5,14,24.406,2,0.13539,48.0381,7.52944,122.57696,12160,0.24176
NOTCH1,80,0.7981,10,20,29.461,2,0.11847,50.77024,7.50687,110.73341,12488,0.21053
PSAP,52,0.80493,7,14,17.38,1,0.13539,45.37143,7.31882,269.34249,98640,0.24176
GLA,51,1.16687,5,16,11.724,4,0.11847,41.8381,6.95777,756.47168,266176,0.16667
NOTCH3,50,0.95098,6,12,20.543,1,0.11847,44.85476,7.21352,15.31822,1304,0.30303
GALC,49,1.16687,5,12,14.461,2,0.11847,45.17024,7.32634,403.35014,80336,0.27273
SMPD1,49,1.16687,5,12,11.95,2,0.11847,41.3881,6.98034,251.46515,170976,0.27273
MPO,48,1.16687,5,10,19.561,1,0.10531,42.15357,7.05556,1.97412,1496,0.4
NOTCH2,48,1.16687,5,10,17.417,1,0.11847,41.37143,7.03299,0.55385,24,0.4
PTEN,44,0.55867,10,20,27.416,6,0.11847,50.75357,7.53696,203.69214,33320,0.14737
ADAM17,38,0.80493,7,14,22.595,2,0.11847,47.77024,7.41661,50.14229,8464,0.24176
SYNJ1,32,1.03722,5,14,22.805,1,0.11847,45.0381,7.22104,71.60822,9744,0.1978
GFAP,32,0.69977,8,20,29.46,4,0.11847,54.15119,7.7927,908.19249,210152,0.12632
CYBB,31,0.76079,6,18,22.657,4,0.11847,48.95119,7.49935,724.24398,175400,0.11765
NEFL,26,1.03722,5,14,24.371,5,0.11847,49.51786,7.60466,725.98434,110656,0.1978
NOD2,24,1.13679,4,8,18.048,1,0.10531,40.425,6.8976,0,0,0.42857
SLC6A3,24,1.13679,4,8,20.651,1,0.13539,43.80476,7.33387,0,0,0.42857
ARSA,24,1.13679,4,8,7.767,1,0.11847,36.4881,6.67946,0,0,0.42857
TTR,24,1.13679,4,8,19.361,1,0.13539,47.30476,7.55952,0,0,0.42857
ABCA7,24,1.13679,4,8,16.303,1,0.11847,41.8381,7.07812,0,0,0.42857
PIK3CA,22,0.65858,7,14,20.016,1,0.11847,45.7381,7.25865,67.66896,14288,0.1978
CTSD,21,0.51223,7,22,26.172,6,0.15796,54.75,7.90553,1588.87306,698664,0.08658
NOS3,17,0.66569,6,14,19.569,3,0.11847,47.77024,7.42413,173.83167,32752,0.15385
AGL,16,0.66569,6,16,2.949,5,0.11847,32.89048,5.91975,935.4897,683960,0.11667
ACE,16,0.66569,6,12,19.24,2,0.11847,45.80476,7.26617,37.76776,3376,0.21212
GYS1,13,0.77792,5,12,3.199,10,0.13539,34.07857,6.31089,1286.9839,735352,0.18182
MTMR2,10,0.47549,6,12,9.69,2,0.13539,40.2381,7.01042,268.8755,74656,0.15152
LAMP2,10,0.51861,5,14,20.983,19,0.18955,49.35,7.72501,3077.46822,2225256,0.08791
PYGM,10,0.64826,5,10,2.422,2,0.11847,29.35833,5.54365,305.14419,292520,0.22222
GJB1,8,0.51861,5,10,7.777,2,0.11847,38.45357,6.85999,330.98016,63008,0.17778
CSF1R,8,0.56839,4,12,17.861,1,0.10531,44.9369,7.21352,60.7504,8840,0.12121
NLRP3,7,0.92693,3,8,18.767,3,0.11847,44.2881,7.25865,100.77547,18152,0.21429
PLAU,7,0.92693,3,8,17.14,1,0.13539,44.6381,7.379,75.49865,89496,0.21429
RET,6,0.92693,3,6,13.743,1,0.11847,41.2381,7.09317,0,0,0.4
CTLA4,6,0.92693,3,6,13.499,1,0.10531,39.925,6.89007,0,0,0.4
VWF,6,0.61795,3,10,13.918,3,0.10531,41.59167,6.9352,75.63648,11792,0.08889
PPT1,6,0.92693,3,6,6.636,1,0.13539,38.1381,6.98034,0,0,0.4
CLN6,6,0.92693,3,6,6.695,1,0.13539,38.1381,6.98034,0,0,0.4
CLN3,6,0.92693,3,6,5.993,1,0.13539,38.1381,6.98034,0,0,0.4
GBE1,6,0.92693,3,6,1.99,1,0.11847,28.19167,5.52109,0,0,0.4
NHLRC1,6,0.92693,3,6,2.021,1,0.11847,28.025,5.51356,0,0,0.4
EPM2A,6,0.92693,3,6,2.067,1,0.11847,28.025,5.51356,0,0,0.4
GDAP1,5,0.61795,3,8,7.67,2,0.11847,37.38095,6.6945,92.13667,16144,0.14286
COL1A1,5,0.61795,3,8,8.326,1,0.10531,37.40833,6.67946,138.15568,103024,0.14286
G6PC,5,0.61795,3,8,2.168,3,0.10531,26.58175,5.01712,280.87128,394016,0.14286
HSPB1,4,0.61557,2,8,19.336,1,0.13539,47.8881,7.58209,13.38028,7856,0.14286
SBF2,4,0.61795,3,6,6.638,1,0.13539,35.74048,6.66442,16.6389,6808,0.26667
PMP22,4,0.61795,3,6,3.559,1,0.11847,30.89048,6.09275,17.13333,5992,0.26667
COL1A2,4,0.61795,3,6,6.588,2,0.10531,36.65833,6.65689,113.67765,97160,0.26667
ABCA1,4,0,1,8,11.644,5,0.11847,43.9381,7.22104,774.02379,424864,0
GARS1,4,0.61557,2,8,1.724,4,0.10531,23.24762,4.41536,742,1103800,0.07143
PRKAG2,3,0,1,6,4.95,17,0.15796,38.66667,7.05556,2769.85533,2185912,0
DNM2,3,0,1,6,11.183,1,0.11847,40.9881,7.07812,53.90734,5576,0
DYNC1H1,3,0.61557,2,6,14.703,1,0.11847,40.9869,7.09317,2.62025,400,0.13333
TYROBP,3,0.61557,2,6,10.926,1,0.10531,41.09167,6.95777,3.72143,160,0.13333
ATP7A,3,0,1,6,6.725,9,0.11847,41.08452,7.20599,1464.14467,670584,0
GNE,3,0,1,6,2.7,7,0.13539,34.38095,6.53654,1089.14467,610872,0
LIPA,3,0,1,6,2.858,3,0.10531,33.21111,6.31089,327.23634,224568,0
NPC1,3,0,1,6,4.684,1,0.10531,36.31111,6.60424,226.05327,202520,0
TERT,2,0.61557,2,4,9.992,1,0.11847,40.30476,7.04803,0,0,0.33333
MT-ND1,2,0.61557,2,4,13.129,1,0.11847,39.6869,7.04803,0,0,0.33333
NPC2,2,0,1,4,1.831,1,0.09478,28.63611,5.69409,18.81333,2088,0
UMOD,2,0.61557,2,4,10.153,1,0.10531,39.00833,6.85999,0,0,0.33333
HEXB,2,0.61557,2,4,2.85,1,0.10531,30.77063,6.02505,0,0,0.33333
HEXA,2,0.61557,2,4,2.816,1,0.10531,30.77063,6.02505,0,0,0.33333
PFKM,2,0.61557,2,4,1.605,1,0.10531,23.57381,4.61846,0,0,0.33333
ENG,2,0,1,4,6.888,1,0.10531,36.24167,6.65689,0.5,8,0
EGR2,2,0.61557,2,4,2.57,1,0.10531,29.31071,5.92727,0,0,0.33333
NCF2,2,0.61557,2,4,5.526,1,0.10531,34.6369,6.56663,0,0,0.33333
CYBA,2,0.61557,2,4,5.217,1,0.10531,34.6369,6.56663,0,0,0.33333
COL4A1,2,0.61557,2,4,3.311,1,0.09478,28.725,5.74674,0,0,0.33333
LMNA,2,0,1,4,1.871,6,0.13539,30.57857,6.19054,1210,1379640,0
BSCL2,2,0,1,4,1.414,5,0.11847,25.88214,5.31047,976,1287720,0
DBT,2,0.61557,2,4,1.338,1,0.02239,2,0.04478,0,0,0.33333
BCKDHB,2,0.61557,2,4,1.371,1,0.02239,2,0.04478,0,0,0.33333
BCKDHA,2,0.61557,2,4,1.345,1,0.02239,2,0.04478,0,0,0.33333
LRP5,2,0,1,4,10.42,1,0.11847,43.80476,7.27369,7.84186,2152,0
MTHFR,2,0.61557,2,4,9.376,1,0.11847,39.57143,6.98034,0,0,0.33333
MARS1,2,0.61557,2,4,1.391,1,0.09478,19.4996,3.48265,0,0,0.33333
AARS1,2,0.61557,2,4,1.432,1,0.09478,19.4996,3.48265,0,0,0.33333
SPG11,1,0,1,2,5.176,1,0.11847,33.43095,6.47637,0,0,0
TRPV4,1,0,1,2,1.147,1,0.01493,1,0.04478,0,0,0
PKD1,1,0,1,2,1.147,1,0.01493,1,0.04478,0,0,0
PANK2,1,0,1,2,4.776,1,0.11847,33.43095,6.47637,0,0,0
NDRG1,1,0,1,2,6.717,1,0.11847,39.47143,7.02547,0,0,0
NAGLU,1,0,1,2,4.288,1,0.15796,34.75,6.78477,0,0,0
KIF1B,1,0,1,2,5.716,1,0.11847,34.33095,6.58167,0,0,0
SLC17A5,1,0,1,2,1.334,1,0.11847,26.59167,5.5963,0,0,0
PLP1,1,0,1,2,5.66,1,0.10531,36.80357,6.85246,0,0,0
POLG,1,0,1,2,1.249,1,0.09478,18.9996,3.47512,0,0,0
GAA,1,0,1,2,3.211,1,0.10531,30.27063,6.01753,0,0,0
SLC37A4,1,0,1,2,1.467,1,0.09478,21.15476,4.07688,0,0,0
CYP27A1,1,0,1,2,1.556,1,0.09478,25.89087,5.37065,0,0,0
ATP7B,1,0,1,2,1.998,1,0.10531,30.62024,6.26575,0,0,0
SCN9A,1,0,1,2,1.531,1,0.10531,24.74841,4.97951,0,0,0
CEP290,1,0,1,2,1.175,1,0.01493,1,0.04478,0,0,0
ABCA4,1,0,1,2,1.175,1,0.01493,1,0.04478,0,0,0